Ticker,Security,GICS Sector,GICS Sub Industry,TickerInfo,CompanyInfo,CompanyWeb,CompanyOverview
MMM,3M Company,Industrials,Industrial Conglomerates,https://www.nyse.com/quote/XNYS:MMM  ,https://en.wikipedia.org/wiki/3M                                                                    ,http://www.3m.com/,"3M Company is a technology company. It operates through five segments. The Industrial segment serves a range of markets, such as automotive original equipment manufacturer and automotive aftermarket, , appliance, paper and printing, packaging, food and beverage, and construction. The Safety and Graphics segment serves a range of markets for the safety, security and productivity of people, facilities and systems. The Health Care segment serves markets that include medical clinics and hospitals, pharmaceuticals, health information systems, and food manufacturing and testing. The Consumer segment serves markets that include consumer retail, office business to business, home improvement, drug and pharmacy retail, and other markets."
ABT,Abbott Laboratories,Health Care,Health Care Equipment,https://www.nyse.com/quote/XNYS:ABT  ,https://en.wikipedia.org/wiki/Abbott_Laboratories                                                   ,http://www.abbott.com,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products."
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,https://www.nyse.com/quote/XNYS:ABBV ,https://en.wikipedia.org/wiki/AbbVie_Inc.                                                           ,http://www.abbvie.com,"AbbVie Inc. (AbbVie) is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a range of pharmaceutical products. Its products are focused on treating conditions, such as chronic autoimmune diseases in rheumatology, gastroenterology and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease and multiple sclerosis; metabolic diseases, including thyroid disease and complications associated with cystic fibrosis, and other serious health conditions. It offers products in various categories, including HUMIRA (adalimumab), Oncology products, Virology Products, Additional Virology products, Metabolics/Hormones products, Endocrinology products and other products, which include Duopa and Duodopa (carbidopa and levodopa), Anesthesia products and ZINBRYTA (daclizumab)."
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,https://www.nyse.com/quote/XNYS:ACN  ,https://en.wikipedia.org/wiki/Accenture_plc                                                         ,http://www.accenture.com/ie-en/,"Accenture plc is a professional services company serving clients in various industries and in geographic regions, including North America, Europe and Growth Markets. The Company provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Products segment serves a set of interconnected consumer-relevant industries. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries."
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,http://www.nasdaq.com/symbol/atvi    ,https://en.wikipedia.org/wiki/Activision_Blizzard                                                   ,http://www.activisionblizzard.com,"Activision Blizzard, Inc. is a developer and publisher of interactive entertainment content and services. The Company develops and distributes content and services across various gaming platforms, including video game consoles, personal computers (PC) and mobile devices. Its segments include Activision Publishing, Inc. (Activision), Blizzard Entertainment, Inc. (Blizzard), King Digital Entertainment (King) and Other. Activision is a developer and publisher of interactive software products and content. Blizzard is engaged in developing and publishing of interactive software products and entertainment content, particularly in PC gaming. King is a mobile entertainment company. It is engaged in other businesses, including The Major League Gaming (MLG) business; The Activision Blizzard Studios (Studios) business, and The Activision Blizzard Distribution (Distribution) business. It also develops products spanning other genres, including action/adventure, role-playing and simulation."
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,https://www.nyse.com/quote/XNYS:AYI  ,https://en.wikipedia.org/wiki/Acuity_Brands_Inc                                                     ,https://www.acuitybrands.com/,"Acuity Brands, Inc. is a provider of lighting solutions for commercial, institutional, industrial, infrastructure and residential applications throughout North America and other international markets. The Company operates through North American segment. The Company offers a portfolio of indoor and outdoor lighting and building management solutions for commercial, institutional, industrial, infrastructure and residential applications. The portfolio of lighting solutions include lighting products utilizing fluorescent, light emitting diode (LED), organic LED (OLED), high intensity discharge, metal halide, and incandescent light sources to illuminate a number of applications. The solutions portfolio of the Company also includes modular wiring, LED drivers, sensors, glass and inverters sold primarily to original equipment manufacturers (OEMs). Its lighting and building management solutions are marketed under various brand names, including Lithonia Lighting and Holophane."
ADBE,Adobe Systems Inc,Information Technology,Application Software,http://www.nasdaq.com/symbol/adbe    ,https://en.wikipedia.org/wiki/Adobe_Systems_Inc                                                     ,http://www.adobe.com/,"Adobe Systems Incorporated is a software company. The Company offers products and services used by professionals, marketers, knowledge workers, application developers, enterprises and consumers for creating, managing, delivering, measuring, optimizing and engaging with compelling content and experiences. It operates through three segments: Digital Media, Digital Marketing, and Print and Publishing. Its Digital Media segment provides tools and solutions that enable individuals, small and medium businesses and enterprises to create, publish, promote and monetize their digital content. Its Digital Marketing segment provides solutions and services for how digital advertising and marketing are created, managed, executed, measured and optimized. Its Print and Publishing segment addresses market opportunities ranging from the diverse authoring and publishing needs of technical and business publishing to its legacy type and original equipment manufacturer (OEM) printing businesses."
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,http://www.nasdaq.com/symbol/amd     ,https://en.wikipedia.org/wiki/Advanced_Micro_Devices_Inc                                            ,http://www.amd.com,"Advanced Micro Devices, Inc. is a global semiconductor company. The Company is engaged in offering x86 microprocessors, as standalone devices or as incorporated into an accelerated processing unit (APU), chipsets, discrete graphics processing units (GPUs) and professional graphics, and server and embedded processors and semi-custom System-on-Chip (SoC) products and technology for game consoles. The Company's segments include the Computing and Graphics segment, and the Enterprise, Embedded and Semi-Custom segment. The Computing and Graphics segment primarily includes desktop and notebook processors and chipsets, discrete GPUs and professional graphics. The Enterprise, Embedded and Semi-Custom segment primarily includes server and embedded processors, semi-custom SoC products, development services, technology for game consoles and licensing portions of its intellectual property portfolio."
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,https://www.nyse.com/quote/XNYS:AAP  ,https://en.wikipedia.org/wiki/Advance_Auto_Parts                                                    ,https://shop.advanceautoparts.com/,"Advance Auto Parts, Inc. provides automotive aftermarket parts in North America, serving do-it-for-me (Professional) and do-it-yourself (DIY), customers. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It serves through various channels ranging from traditional brick and mortar store locations to self-serving e-commerce sites. As of December 31, 2016, it operated 5,062 total stores and 127 branches primarily under the trade names Advance Auto Parts, Autopart International, Carquest and Worldpac. As of December 31, 2016, its Advance Auto Parts operations consisted of three geographic divisions, which included the operations of the stores operating under the Advance Auto Parts, Carquest and Autopart International trade names."
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,https://www.nyse.com/quote/XNYS:AES  ,https://en.wikipedia.org/wiki/AES_Corp                                                              ,http://www.aes.com,"The AES Corporation is a holding company. The Company, through its subsidiaries and affiliates, operates a diversified portfolio of electricity generation and distribution businesses. It is organized into six strategic business units (SBUs): the United States; Andes; Brazil; Mexico, Central America and the Caribbean (MCAC); Europe, and Asia. As of December 31, 2016, its United States SBU had 18 generation facilities and two integrated utilities in the United States. As of December 31, 2016, its Andes SBU had generation facilities in three countries. Its Brazil SBU has generation and distribution businesses, Eletropaulo and Tiete. As of December 31, 2016, its MCAC SBU had a portfolio of distribution businesses and generation facilities, including renewable energy, in five countries. As of December 31, 2016, its Europe SBU had generation facilities in five countries. As of December 31, 2016, its Asia SBU had generation facilities in three countries."
